task,domain,source_anchor_pct,target_anchor_pct,condition,metric,mean,std,n_folds,n_samples,n_groups,source_bundle,source_training_position_pct,target_training_position_pct,source_route_auroc,target_route_auroc,source_rank,target_rank,source_representation,target_representation
earlystop,math,20,90,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,20,90,0.921091,0.954694,16,16,raw+rank,raw+rank
earlystop,math,20,90,frozen_basis,stop_acc,0.791667,0.037268,5,7680,120,es_svd_ms_rr_r2,20,90,0.921091,0.954694,16,16,raw+rank,raw+rank
earlystop,math,20,90,task_specific,auroc,0.963295,0.012005,5,7680,120,es_svd_ms_rr_r2,20,90,0.921091,0.954694,16,16,raw+rank,raw+rank
earlystop,math,20,90,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,20,90,0.921091,0.954694,16,16,raw+rank,raw+rank
earlystop,math,20,90,task_specific,stop_acc,0.783333,0.048591,5,7680,120,es_svd_ms_rr_r2,20,90,0.921091,0.954694,16,16,raw+rank,raw+rank
earlystop,math,20,90,no_svd,auroc,0.964069,0.011725,5,7680,120,es_svd_ms_rr_r2,20,90,0.921091,0.954694,16,16,raw+rank,raw+rank
earlystop,math,20,90,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,20,90,0.921091,0.954694,16,16,raw+rank,raw+rank
earlystop,math,20,90,no_svd,stop_acc,0.791667,0.026352,5,7680,120,es_svd_ms_rr_r2,20,90,0.921091,0.954694,16,16,raw+rank,raw+rank
earlystop,math,20,100,frozen_basis,auroc,0.965271,0.010929,5,7680,120,es_svd_ms_rr_r2,20,100,0.921091,0.956271,16,16,raw+rank,raw+rank
earlystop,math,20,100,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,20,100,0.921091,0.956271,16,16,raw+rank,raw+rank
earlystop,math,20,100,frozen_basis,stop_acc,0.791667,0.026352,5,7680,120,es_svd_ms_rr_r2,20,100,0.921091,0.956271,16,16,raw+rank,raw+rank
earlystop,math,20,100,task_specific,auroc,0.965784,0.010693,5,7680,120,es_svd_ms_rr_r2,20,100,0.921091,0.956271,16,16,raw+rank,raw+rank
earlystop,math,20,100,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,20,100,0.921091,0.956271,16,16,raw+rank,raw+rank
earlystop,math,20,100,task_specific,stop_acc,0.800000,0.031180,5,7680,120,es_svd_ms_rr_r2,20,100,0.921091,0.956271,16,16,raw+rank,raw+rank
earlystop,math,20,100,no_svd,auroc,0.966757,0.010619,5,7680,120,es_svd_ms_rr_r2,20,100,0.921091,0.956271,16,16,raw+rank,raw+rank
earlystop,math,20,100,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,20,100,0.921091,0.956271,16,16,raw+rank,raw+rank
earlystop,math,20,100,no_svd,stop_acc,0.800000,0.031180,5,7680,120,es_svd_ms_rr_r2,20,100,0.921091,0.956271,16,16,raw+rank,raw+rank
earlystop,math,30,10,frozen_basis,auroc,0.892159,0.017267,5,7680,120,es_svd_ms_rr_r2,30,10,0.932906,0.902177,16,16,raw+rank,raw+rank
earlystop,math,30,10,frozen_basis,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r2,30,10,0.932906,0.902177,16,16,raw+rank,raw+rank
earlystop,math,30,10,frozen_basis,stop_acc,0.733333,0.042492,5,7680,120,es_svd_ms_rr_r2,30,10,0.932906,0.902177,16,16,raw+rank,raw+rank
earlystop,math,30,10,task_specific,auroc,0.895386,0.017083,5,7680,120,es_svd_ms_rr_r2,30,10,0.932906,0.902177,16,16,raw+rank,raw+rank
earlystop,math,30,10,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,30,10,0.932906,0.902177,16,16,raw+rank,raw+rank
earlystop,math,30,10,task_specific,stop_acc,0.733333,0.042492,5,7680,120,es_svd_ms_rr_r2,30,10,0.932906,0.902177,16,16,raw+rank,raw+rank
earlystop,math,30,10,no_svd,auroc,0.896373,0.017781,5,7680,120,es_svd_ms_rr_r2,30,10,0.932906,0.902177,16,16,raw+rank,raw+rank
earlystop,math,30,10,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,30,10,0.932906,0.902177,16,16,raw+rank,raw+rank
earlystop,math,30,10,no_svd,stop_acc,0.716667,0.061237,5,7680,120,es_svd_ms_rr_r2,30,10,0.932906,0.902177,16,16,raw+rank,raw+rank
earlystop,math,30,20,frozen_basis,auroc,0.921092,0.021757,5,7680,120,es_svd_ms_rr_r2,30,20,0.932906,0.921091,16,16,raw+rank,raw+rank
earlystop,math,30,20,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,30,20,0.932906,0.921091,16,16,raw+rank,raw+rank
earlystop,math,30,20,frozen_basis,stop_acc,0.733333,0.072648,5,7680,120,es_svd_ms_rr_r2,30,20,0.932906,0.921091,16,16,raw+rank,raw+rank
earlystop,math,30,20,task_specific,auroc,0.924461,0.018954,5,7680,120,es_svd_ms_rr_r2,30,20,0.932906,0.921091,16,16,raw+rank,raw+rank
earlystop,math,30,20,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,30,20,0.932906,0.921091,16,16,raw+rank,raw+rank
earlystop,math,30,20,task_specific,stop_acc,0.750000,0.064550,5,7680,120,es_svd_ms_rr_r2,30,20,0.932906,0.921091,16,16,raw+rank,raw+rank
earlystop,math,30,20,no_svd,auroc,0.924551,0.015659,5,7680,120,es_svd_ms_rr_r2,30,20,0.932906,0.921091,16,16,raw+rank,raw+rank
earlystop,math,30,20,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,30,20,0.932906,0.921091,16,16,raw+rank,raw+rank
earlystop,math,30,20,no_svd,stop_acc,0.733333,0.062361,5,7680,120,es_svd_ms_rr_r2,30,20,0.932906,0.921091,16,16,raw+rank,raw+rank
earlystop,math,30,30,frozen_basis,auroc,0.934163,0.020232,5,7680,120,es_svd_ms_rr_r2,30,30,0.932906,0.932906,16,16,raw+rank,raw+rank
earlystop,math,30,30,frozen_basis,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r2,30,30,0.932906,0.932906,16,16,raw+rank,raw+rank
earlystop,math,30,30,frozen_basis,stop_acc,0.750000,0.045644,5,7680,120,es_svd_ms_rr_r2,30,30,0.932906,0.932906,16,16,raw+rank,raw+rank
earlystop,math,30,30,task_specific,auroc,0.937504,0.017855,5,7680,120,es_svd_ms_rr_r2,30,30,0.932906,0.932906,16,16,raw+rank,raw+rank
earlystop,math,30,30,task_specific,selacc@10%,0.996104,0.003181,5,7680,120,es_svd_ms_rr_r2,30,30,0.932906,0.932906,16,16,raw+rank,raw+rank
earlystop,math,30,30,task_specific,stop_acc,0.766667,0.062361,5,7680,120,es_svd_ms_rr_r2,30,30,0.932906,0.932906,16,16,raw+rank,raw+rank
earlystop,math,30,30,no_svd,auroc,0.938941,0.013239,5,7680,120,es_svd_ms_rr_r2,30,30,0.932906,0.932906,16,16,raw+rank,raw+rank
earlystop,math,30,30,no_svd,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r2,30,30,0.932906,0.932906,16,16,raw+rank,raw+rank
earlystop,math,30,30,no_svd,stop_acc,0.758333,0.071686,5,7680,120,es_svd_ms_rr_r2,30,30,0.932906,0.932906,16,16,raw+rank,raw+rank
earlystop,math,30,40,frozen_basis,auroc,0.943508,0.019026,5,7680,120,es_svd_ms_rr_r2,30,40,0.932906,0.939075,16,16,raw+rank,raw+rank
earlystop,math,30,40,frozen_basis,selacc@10%,0.996104,0.003181,5,7680,120,es_svd_ms_rr_r2,30,40,0.932906,0.939075,16,16,raw+rank,raw+rank
earlystop,math,30,40,frozen_basis,stop_acc,0.758333,0.040825,5,7680,120,es_svd_ms_rr_r2,30,40,0.932906,0.939075,16,16,raw+rank,raw+rank
earlystop,math,30,40,task_specific,auroc,0.945627,0.017461,5,7680,120,es_svd_ms_rr_r2,30,40,0.932906,0.939075,16,16,raw+rank,raw+rank
earlystop,math,30,40,task_specific,selacc@10%,0.996104,0.003181,5,7680,120,es_svd_ms_rr_r2,30,40,0.932906,0.939075,16,16,raw+rank,raw+rank
earlystop,math,30,40,task_specific,stop_acc,0.766667,0.042492,5,7680,120,es_svd_ms_rr_r2,30,40,0.932906,0.939075,16,16,raw+rank,raw+rank
earlystop,math,30,40,no_svd,auroc,0.947742,0.013603,5,7680,120,es_svd_ms_rr_r2,30,40,0.932906,0.939075,16,16,raw+rank,raw+rank
earlystop,math,30,40,no_svd,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r2,30,40,0.932906,0.939075,16,16,raw+rank,raw+rank
earlystop,math,30,40,no_svd,stop_acc,0.758333,0.040825,5,7680,120,es_svd_ms_rr_r2,30,40,0.932906,0.939075,16,16,raw+rank,raw+rank
earlystop,math,30,50,frozen_basis,auroc,0.949374,0.016858,5,7680,120,es_svd_ms_rr_r2,30,50,0.932906,0.943605,16,16,raw+rank,raw+rank
earlystop,math,30,50,frozen_basis,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r2,30,50,0.932906,0.943605,16,16,raw+rank,raw+rank
earlystop,math,30,50,frozen_basis,stop_acc,0.766667,0.042492,5,7680,120,es_svd_ms_rr_r2,30,50,0.932906,0.943605,16,16,raw+rank,raw+rank
earlystop,math,30,50,task_specific,auroc,0.950834,0.015963,5,7680,120,es_svd_ms_rr_r2,30,50,0.932906,0.943605,16,16,raw+rank,raw+rank
earlystop,math,30,50,task_specific,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r2,30,50,0.932906,0.943605,16,16,raw+rank,raw+rank
earlystop,math,30,50,task_specific,stop_acc,0.750000,0.058926,5,7680,120,es_svd_ms_rr_r2,30,50,0.932906,0.943605,16,16,raw+rank,raw+rank
earlystop,math,30,50,no_svd,auroc,0.952795,0.012664,5,7680,120,es_svd_ms_rr_r2,30,50,0.932906,0.943605,16,16,raw+rank,raw+rank
earlystop,math,30,50,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,30,50,0.932906,0.943605,16,16,raw+rank,raw+rank
earlystop,math,30,50,no_svd,stop_acc,0.741667,0.055277,5,7680,120,es_svd_ms_rr_r2,30,50,0.932906,0.943605,16,16,raw+rank,raw+rank
earlystop,math,30,60,frozen_basis,auroc,0.953580,0.015578,5,7680,120,es_svd_ms_rr_r2,30,60,0.932906,0.946227,16,16,raw+rank,raw+rank
earlystop,math,30,60,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,30,60,0.932906,0.946227,16,16,raw+rank,raw+rank
earlystop,math,30,60,frozen_basis,stop_acc,0.758333,0.048591,5,7680,120,es_svd_ms_rr_r2,30,60,0.932906,0.946227,16,16,raw+rank,raw+rank
earlystop,math,30,60,task_specific,auroc,0.954784,0.015008,5,7680,120,es_svd_ms_rr_r2,30,60,0.932906,0.946227,16,16,raw+rank,raw+rank
earlystop,math,30,60,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,30,60,0.932906,0.946227,16,16,raw+rank,raw+rank
earlystop,math,30,60,task_specific,stop_acc,0.741667,0.071686,5,7680,120,es_svd_ms_rr_r2,30,60,0.932906,0.946227,16,16,raw+rank,raw+rank
earlystop,math,30,60,no_svd,auroc,0.956348,0.012684,5,7680,120,es_svd_ms_rr_r2,30,60,0.932906,0.946227,16,16,raw+rank,raw+rank
earlystop,math,30,60,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,30,60,0.932906,0.946227,16,16,raw+rank,raw+rank
earlystop,math,30,60,no_svd,stop_acc,0.741667,0.071686,5,7680,120,es_svd_ms_rr_r2,30,60,0.932906,0.946227,16,16,raw+rank,raw+rank
earlystop,math,30,70,frozen_basis,auroc,0.957581,0.014258,5,7680,120,es_svd_ms_rr_r2,30,70,0.932906,0.948793,16,16,raw+rank,raw+rank
earlystop,math,30,70,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,30,70,0.932906,0.948793,16,16,raw+rank,raw+rank
earlystop,math,30,70,frozen_basis,stop_acc,0.775000,0.062361,5,7680,120,es_svd_ms_rr_r2,30,70,0.932906,0.948793,16,16,raw+rank,raw+rank
earlystop,math,30,70,task_specific,auroc,0.958260,0.013974,5,7680,120,es_svd_ms_rr_r2,30,70,0.932906,0.948793,16,16,raw+rank,raw+rank
earlystop,math,30,70,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,30,70,0.932906,0.948793,16,16,raw+rank,raw+rank
earlystop,math,30,70,task_specific,stop_acc,0.766667,0.067700,5,7680,120,es_svd_ms_rr_r2,30,70,0.932906,0.948793,16,16,raw+rank,raw+rank
earlystop,math,30,70,no_svd,auroc,0.959111,0.012643,5,7680,120,es_svd_ms_rr_r2,30,70,0.932906,0.948793,16,16,raw+rank,raw+rank
earlystop,math,30,70,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,30,70,0.932906,0.948793,16,16,raw+rank,raw+rank
earlystop,math,30,70,no_svd,stop_acc,0.775000,0.056519,5,7680,120,es_svd_ms_rr_r2,30,70,0.932906,0.948793,16,16,raw+rank,raw+rank
earlystop,math,30,80,frozen_basis,auroc,0.960058,0.013228,5,7680,120,es_svd_ms_rr_r2,30,80,0.932906,0.951888,16,16,raw+rank,raw+rank
earlystop,math,30,80,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,30,80,0.932906,0.951888,16,16,raw+rank,raw+rank
earlystop,math,30,80,frozen_basis,stop_acc,0.758333,0.061237,5,7680,120,es_svd_ms_rr_r2,30,80,0.932906,0.951888,16,16,raw+rank,raw+rank
earlystop,math,30,80,task_specific,auroc,0.960316,0.013314,5,7680,120,es_svd_ms_rr_r2,30,80,0.932906,0.951888,16,16,raw+rank,raw+rank
earlystop,math,30,80,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,30,80,0.932906,0.951888,16,16,raw+rank,raw+rank
earlystop,math,30,80,task_specific,stop_acc,0.775000,0.056519,5,7680,120,es_svd_ms_rr_r2,30,80,0.932906,0.951888,16,16,raw+rank,raw+rank
earlystop,math,30,80,no_svd,auroc,0.961026,0.012788,5,7680,120,es_svd_ms_rr_r2,30,80,0.932906,0.951888,16,16,raw+rank,raw+rank
earlystop,math,30,80,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,30,80,0.932906,0.951888,16,16,raw+rank,raw+rank
earlystop,math,30,80,no_svd,stop_acc,0.766667,0.050000,5,7680,120,es_svd_ms_rr_r2,30,80,0.932906,0.951888,16,16,raw+rank,raw+rank
earlystop,math,30,90,frozen_basis,auroc,0.963119,0.011813,5,7680,120,es_svd_ms_rr_r2,30,90,0.932906,0.954694,16,16,raw+rank,raw+rank
earlystop,math,30,90,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,30,90,0.932906,0.954694,16,16,raw+rank,raw+rank
earlystop,math,30,90,frozen_basis,stop_acc,0.783333,0.048591,5,7680,120,es_svd_ms_rr_r2,30,90,0.932906,0.954694,16,16,raw+rank,raw+rank
earlystop,math,30,90,task_specific,auroc,0.963295,0.012005,5,7680,120,es_svd_ms_rr_r2,30,90,0.932906,0.954694,16,16,raw+rank,raw+rank
earlystop,math,30,90,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,30,90,0.932906,0.954694,16,16,raw+rank,raw+rank
earlystop,math,30,90,task_specific,stop_acc,0.783333,0.048591,5,7680,120,es_svd_ms_rr_r2,30,90,0.932906,0.954694,16,16,raw+rank,raw+rank
earlystop,math,30,90,no_svd,auroc,0.964069,0.011725,5,7680,120,es_svd_ms_rr_r2,30,90,0.932906,0.954694,16,16,raw+rank,raw+rank
earlystop,math,30,90,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,30,90,0.932906,0.954694,16,16,raw+rank,raw+rank
earlystop,math,30,90,no_svd,stop_acc,0.791667,0.026352,5,7680,120,es_svd_ms_rr_r2,30,90,0.932906,0.954694,16,16,raw+rank,raw+rank
earlystop,math,30,100,frozen_basis,auroc,0.965627,0.010451,5,7680,120,es_svd_ms_rr_r2,30,100,0.932906,0.956271,16,16,raw+rank,raw+rank
earlystop,math,30,100,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,30,100,0.932906,0.956271,16,16,raw+rank,raw+rank
earlystop,math,30,100,frozen_basis,stop_acc,0.791667,0.026352,5,7680,120,es_svd_ms_rr_r2,30,100,0.932906,0.956271,16,16,raw+rank,raw+rank
earlystop,math,30,100,task_specific,auroc,0.965784,0.010693,5,7680,120,es_svd_ms_rr_r2,30,100,0.932906,0.956271,16,16,raw+rank,raw+rank
earlystop,math,30,100,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,30,100,0.932906,0.956271,16,16,raw+rank,raw+rank
earlystop,math,30,100,task_specific,stop_acc,0.800000,0.031180,5,7680,120,es_svd_ms_rr_r2,30,100,0.932906,0.956271,16,16,raw+rank,raw+rank
earlystop,math,30,100,no_svd,auroc,0.966757,0.010619,5,7680,120,es_svd_ms_rr_r2,30,100,0.932906,0.956271,16,16,raw+rank,raw+rank
earlystop,math,30,100,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,30,100,0.932906,0.956271,16,16,raw+rank,raw+rank
earlystop,math,30,100,no_svd,stop_acc,0.800000,0.031180,5,7680,120,es_svd_ms_rr_r2,30,100,0.932906,0.956271,16,16,raw+rank,raw+rank
earlystop,math,40,10,frozen_basis,auroc,0.890445,0.017031,5,7680,120,es_svd_ms_rr_r2,40,10,0.939075,0.902177,16,16,raw+rank,raw+rank
earlystop,math,40,10,frozen_basis,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r2,40,10,0.939075,0.902177,16,16,raw+rank,raw+rank
earlystop,math,40,10,frozen_basis,stop_acc,0.716667,0.031180,5,7680,120,es_svd_ms_rr_r2,40,10,0.939075,0.902177,16,16,raw+rank,raw+rank
earlystop,math,40,10,task_specific,auroc,0.895386,0.017083,5,7680,120,es_svd_ms_rr_r2,40,10,0.939075,0.902177,16,16,raw+rank,raw+rank
earlystop,math,40,10,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,40,10,0.939075,0.902177,16,16,raw+rank,raw+rank
earlystop,math,40,10,task_specific,stop_acc,0.733333,0.042492,5,7680,120,es_svd_ms_rr_r2,40,10,0.939075,0.902177,16,16,raw+rank,raw+rank
earlystop,math,40,10,no_svd,auroc,0.896373,0.017781,5,7680,120,es_svd_ms_rr_r2,40,10,0.939075,0.902177,16,16,raw+rank,raw+rank
earlystop,math,40,10,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,40,10,0.939075,0.902177,16,16,raw+rank,raw+rank
earlystop,math,40,10,no_svd,stop_acc,0.716667,0.061237,5,7680,120,es_svd_ms_rr_r2,40,10,0.939075,0.902177,16,16,raw+rank,raw+rank
earlystop,math,40,20,frozen_basis,auroc,0.920644,0.021985,5,7680,120,es_svd_ms_rr_r2,40,20,0.939075,0.921091,16,16,raw+rank,raw+rank
earlystop,math,40,20,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,40,20,0.939075,0.921091,16,16,raw+rank,raw+rank
earlystop,math,40,20,frozen_basis,stop_acc,0.725000,0.077280,5,7680,120,es_svd_ms_rr_r2,40,20,0.939075,0.921091,16,16,raw+rank,raw+rank
earlystop,math,40,20,task_specific,auroc,0.924461,0.018954,5,7680,120,es_svd_ms_rr_r2,40,20,0.939075,0.921091,16,16,raw+rank,raw+rank
earlystop,math,40,20,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,40,20,0.939075,0.921091,16,16,raw+rank,raw+rank
earlystop,math,40,20,task_specific,stop_acc,0.750000,0.064550,5,7680,120,es_svd_ms_rr_r2,40,20,0.939075,0.921091,16,16,raw+rank,raw+rank
earlystop,math,40,20,no_svd,auroc,0.924551,0.015659,5,7680,120,es_svd_ms_rr_r2,40,20,0.939075,0.921091,16,16,raw+rank,raw+rank
earlystop,math,40,20,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,40,20,0.939075,0.921091,16,16,raw+rank,raw+rank
earlystop,math,40,20,no_svd,stop_acc,0.733333,0.062361,5,7680,120,es_svd_ms_rr_r2,40,20,0.939075,0.921091,16,16,raw+rank,raw+rank
earlystop,math,40,30,frozen_basis,auroc,0.934070,0.020306,5,7680,120,es_svd_ms_rr_r2,40,30,0.939075,0.932906,16,16,raw+rank,raw+rank
earlystop,math,40,30,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,40,30,0.939075,0.932906,16,16,raw+rank,raw+rank
earlystop,math,40,30,frozen_basis,stop_acc,0.750000,0.045644,5,7680,120,es_svd_ms_rr_r2,40,30,0.939075,0.932906,16,16,raw+rank,raw+rank
earlystop,math,40,30,task_specific,auroc,0.937504,0.017855,5,7680,120,es_svd_ms_rr_r2,40,30,0.939075,0.932906,16,16,raw+rank,raw+rank
earlystop,math,40,30,task_specific,selacc@10%,0.996104,0.003181,5,7680,120,es_svd_ms_rr_r2,40,30,0.939075,0.932906,16,16,raw+rank,raw+rank
earlystop,math,40,30,task_specific,stop_acc,0.766667,0.062361,5,7680,120,es_svd_ms_rr_r2,40,30,0.939075,0.932906,16,16,raw+rank,raw+rank
earlystop,math,40,30,no_svd,auroc,0.938941,0.013239,5,7680,120,es_svd_ms_rr_r2,40,30,0.939075,0.932906,16,16,raw+rank,raw+rank
earlystop,math,40,30,no_svd,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r2,40,30,0.939075,0.932906,16,16,raw+rank,raw+rank
earlystop,math,40,30,no_svd,stop_acc,0.758333,0.071686,5,7680,120,es_svd_ms_rr_r2,40,30,0.939075,0.932906,16,16,raw+rank,raw+rank
earlystop,math,40,40,frozen_basis,auroc,0.943594,0.019099,5,7680,120,es_svd_ms_rr_r2,40,40,0.939075,0.939075,16,16,raw+rank,raw+rank
earlystop,math,40,40,frozen_basis,selacc@10%,0.996104,0.003181,5,7680,120,es_svd_ms_rr_r2,40,40,0.939075,0.939075,16,16,raw+rank,raw+rank
earlystop,math,40,40,frozen_basis,stop_acc,0.758333,0.040825,5,7680,120,es_svd_ms_rr_r2,40,40,0.939075,0.939075,16,16,raw+rank,raw+rank
earlystop,math,40,40,task_specific,auroc,0.945627,0.017461,5,7680,120,es_svd_ms_rr_r2,40,40,0.939075,0.939075,16,16,raw+rank,raw+rank
earlystop,math,40,40,task_specific,selacc@10%,0.996104,0.003181,5,7680,120,es_svd_ms_rr_r2,40,40,0.939075,0.939075,16,16,raw+rank,raw+rank
earlystop,math,40,40,task_specific,stop_acc,0.766667,0.042492,5,7680,120,es_svd_ms_rr_r2,40,40,0.939075,0.939075,16,16,raw+rank,raw+rank
earlystop,math,40,40,no_svd,auroc,0.947742,0.013603,5,7680,120,es_svd_ms_rr_r2,40,40,0.939075,0.939075,16,16,raw+rank,raw+rank
earlystop,math,40,40,no_svd,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r2,40,40,0.939075,0.939075,16,16,raw+rank,raw+rank
earlystop,math,40,40,no_svd,stop_acc,0.758333,0.040825,5,7680,120,es_svd_ms_rr_r2,40,40,0.939075,0.939075,16,16,raw+rank,raw+rank
earlystop,math,40,50,frozen_basis,auroc,0.949485,0.016913,5,7680,120,es_svd_ms_rr_r2,40,50,0.939075,0.943605,16,16,raw+rank,raw+rank
earlystop,math,40,50,frozen_basis,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r2,40,50,0.939075,0.943605,16,16,raw+rank,raw+rank
earlystop,math,40,50,frozen_basis,stop_acc,0.758333,0.048591,5,7680,120,es_svd_ms_rr_r2,40,50,0.939075,0.943605,16,16,raw+rank,raw+rank
earlystop,math,40,50,task_specific,auroc,0.950834,0.015963,5,7680,120,es_svd_ms_rr_r2,40,50,0.939075,0.943605,16,16,raw+rank,raw+rank
earlystop,math,40,50,task_specific,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r2,40,50,0.939075,0.943605,16,16,raw+rank,raw+rank
earlystop,math,40,50,task_specific,stop_acc,0.750000,0.058926,5,7680,120,es_svd_ms_rr_r2,40,50,0.939075,0.943605,16,16,raw+rank,raw+rank
earlystop,math,40,50,no_svd,auroc,0.952795,0.012664,5,7680,120,es_svd_ms_rr_r2,40,50,0.939075,0.943605,16,16,raw+rank,raw+rank
earlystop,math,40,50,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,40,50,0.939075,0.943605,16,16,raw+rank,raw+rank
earlystop,math,40,50,no_svd,stop_acc,0.741667,0.055277,5,7680,120,es_svd_ms_rr_r2,40,50,0.939075,0.943605,16,16,raw+rank,raw+rank
earlystop,math,40,60,frozen_basis,auroc,0.953745,0.015584,5,7680,120,es_svd_ms_rr_r2,40,60,0.939075,0.946227,16,16,raw+rank,raw+rank
earlystop,math,40,60,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,40,60,0.939075,0.946227,16,16,raw+rank,raw+rank
earlystop,math,40,60,frozen_basis,stop_acc,0.758333,0.048591,5,7680,120,es_svd_ms_rr_r2,40,60,0.939075,0.946227,16,16,raw+rank,raw+rank
earlystop,math,40,60,task_specific,auroc,0.954784,0.015008,5,7680,120,es_svd_ms_rr_r2,40,60,0.939075,0.946227,16,16,raw+rank,raw+rank
earlystop,math,40,60,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,40,60,0.939075,0.946227,16,16,raw+rank,raw+rank
earlystop,math,40,60,task_specific,stop_acc,0.741667,0.071686,5,7680,120,es_svd_ms_rr_r2,40,60,0.939075,0.946227,16,16,raw+rank,raw+rank
earlystop,math,40,60,no_svd,auroc,0.956348,0.012684,5,7680,120,es_svd_ms_rr_r2,40,60,0.939075,0.946227,16,16,raw+rank,raw+rank
earlystop,math,40,60,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,40,60,0.939075,0.946227,16,16,raw+rank,raw+rank
earlystop,math,40,60,no_svd,stop_acc,0.741667,0.071686,5,7680,120,es_svd_ms_rr_r2,40,60,0.939075,0.946227,16,16,raw+rank,raw+rank
earlystop,math,40,70,frozen_basis,auroc,0.957682,0.014229,5,7680,120,es_svd_ms_rr_r2,40,70,0.939075,0.948793,16,16,raw+rank,raw+rank
earlystop,math,40,70,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,40,70,0.939075,0.948793,16,16,raw+rank,raw+rank
earlystop,math,40,70,frozen_basis,stop_acc,0.766667,0.067700,5,7680,120,es_svd_ms_rr_r2,40,70,0.939075,0.948793,16,16,raw+rank,raw+rank
earlystop,math,40,70,task_specific,auroc,0.958260,0.013974,5,7680,120,es_svd_ms_rr_r2,40,70,0.939075,0.948793,16,16,raw+rank,raw+rank
earlystop,math,40,70,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,40,70,0.939075,0.948793,16,16,raw+rank,raw+rank
